bg_households_sum,bg_aggregate_income_sum,GEOID
1738.727269707104,123489574.14494465,48001-Precinct 1
1490.0845942545116,148465636.1652549,48001-Precinct 2
648.1670632543983,55735987.15511063,48001-Precinct 3
898.4007351160823,99364400.31203613,48001-Precinct 4
142.7091770059066,11402778.312267182,48001-Precinct 5
692.0668433082059,32999275.630760305,48001-Precinct 6
830.5509794911881,56694258.43628196,48001-Precinct 7
297.32334425518167,9071244.932900103,48001-Precinct 8
798.6885663880853,57686768.68062128,48001-Precinct 9
326.42380064273726,23446454.07740704,48001-Precinct 10
682.4150615710346,49078995.92786737,48001-Precinct 11
1057.412839360053,58921305.7250886,48001-Precinct 13
582.7587996132739,56834838.261788584,48001-Precinct 15
528.2426793953028,41702021.171801746,48001-Precinct 16
624.8365098245695,43330171.24423898,48001-Precinct 17
1279.060569223885,101589368.22891857,48001-Precinct 18
1243.4353139929146,92905249.70856728,48001-Precinct 19
704.8008519111378,55457338.94316113,48001-Precinct 20
874.2269188995065,59518988.21002218,48001-Precinct 21
562.5488189416455,54966617.60786533,48001-Precinct 22
597.6783167423645,50377681.80662501,48001-Precinct 23
541.4409471009114,44122545.316471055,48001-Precinct 24
1599.08515728186,152914627.79870668,48003-Precinct 1
1676.856215418218,168166852.2622373,48003-Precinct 2
1346.6658434296367,168802857.43518054,48003-Precinct 3
2157.3927838702857,204893362.50387546,48003-Precinct 4
413.7966068671194,29431616.533154573,48005-Precinct 1
1657.8855857652163,95350447.99775884,48005-Precinct 2
1021.3261437028715,66215644.49159811,48005-Precinct 3
950.9765787280091,55033574.34633475,48005-Precinct 4
1272.8525149488653,81137899.58869271,48005-Precinct 5
386.8512174432077,29112702.253476318,48005-Precinct 6
841.1953329842391,69837229.35317342,48005-Precinct 7
815.2452623266485,89071233.7819659,48005-Precinct 8
119.49604863221883,8463517.386018237,48005-Precinct 9
680.951174743025,47012941.9465859,48005-Precinct 10A
182.7521663778163,10345437.088388214,48005-Precinct 10B
1197.7738373674956,92566838.67130932,48005-Precinct 11
632.3249340078573,35540445.858534925,48005-Precinct 12
471.82663952181565,34515881.53711783,48005-Precinct 13
1155.7244483723434,105809768.71447451,48005-Precinct 14
468.38137301367453,43703295.4940394,48005-Precinct 15
1483.729900172969,103497647.9477783,48005-Precinct 16
862.9418040876006,51503296.49041518,48005-Precinct 17
498.297250554764,35666753.67385875,48005-Precinct 18
772.8590350047303,73919119.01608324,48005-Precinct 19
1648.841242260739,76776927.20611353,48005-Precinct 20
526.0364111337077,42186925.40049891,48005-Precinct 21
577.0218311524276,62663031.93670662,48005-Precinct 22
505.32731414017786,36752535.55731775,48005-Precinct 23
1815.6672982313924,138457198.6961026,48005-Precinct 24
1548.6679119194362,120916872.78840561,48005-Precinct 25
922.9233871346788,79296511.00452156,48005-Precinct 26
191.227435464246,16522125.841437688,48005-Precinct 27
582.0549185136223,59989901.81793798,48005-Precinct 28
842.9860124403995,68652033.62171423,48005-Precinct 29
582.0725877143306,38801982.23543787,48005-Precinct 30
234.1655643503003,19759708.00264521,48005-Precinct 31
34.95290423861852,2540102.0408163266,48005-Precinct 32
624.300598878864,47859513.76858378,48005-Precinct 33
1733.3187150390008,151527045.11583328,48005-Precinct 34
1011.4525065927554,101008023.82376583,48005-Precinct 35
312.6533497180499,27913862.560871154,48005-Precinct 37
241.43265152193413,23418723.733589306,48005-Precinct 38
431.72920892494926,25618236.815415822,48005-Precinct 39
447.26633165829145,31959032.914572865,48005-Precinct 40
1226.9169097896079,84601966.89748217,48005-Precinct 11B
254.79705455998288,17120546.04947144,48005-Precinct 17B
1363.9361737201518,148970655.6005978,48007-Precinct 1
2691.1492812241218,177176222.8466831,48007-Precinct 2
2814.268553234914,280237097.7843297,48007-Precinct 3
2377.0431389679593,237688570.07094187,48007-Precinct 4
1627.4084084084084,105406710.4104104,48007-Precinct 1A
864.1944444444445,75153743.28703704,48007-Precinct 4A
797.0348860198304,81438367.07076456,48009-Precinct 1
424.95019648674975,49836401.640076585,48009-Precinct 2
223.44827586206895,22930593.103448275,48009-Precinct 3
371.5252145650297,36028996.587273374,48009-Precinct 4
85.49270147834679,6157763.30092653,48009-Precinct 5
599.093302077386,39206656.97535665,48009-Precinct 6
159.3784860557769,11243938.911022576,48009-Precinct 7
180.74434892010905,16482598.326693228,48009-Precinct 8
102.79110362673019,7237417.655837133,48009-Precinct 9
338.13401403956607,52969908.35992342,48009-Precinct 10
12.900703951112842,1225109.497249099,48009-Precinct 11
53.69624060150376,5157158.571428572,48009-Precinct 12
89.81052631578947,8625690.0,48009-Precinct 13
205.90547726170848,17793656.26924239,48011-Precinct 101
107.02435312024352,7848591.780821918,48011-Precinct 201
46.62193128780603,3704710.716271546,48011-Precinct 202
158.9204507841773,13446773.513678886,48011-Precinct 301
19.65753424657534,1441578.0821917807,48011-Precinct 303
87.42398911082005,7582744.310997746,48011-Precinct 401
110.90774907749076,9396210.516605165,48011-Precinct 402
17.53851511117851,1429034.8101905675,48011-Precinct 404
502.614343092537,49710375.738344714,48013-Precinct 1
964.0857106233292,83700954.04404506,48013-Precinct 3
758.2601156712184,67322113.97561948,48013-Precinct 4
1131.4509422546373,87670607.45372577,48013-Precinct 5
209.15443374294253,18133251.942876123,48013-Precinct 6
1137.3676764791746,76924657.4110824,48013-Precinct 7
291.98714500596634,23796238.45170188,48013-Precinct 8
1694.6904063829056,159252355.30171,48013-Precinct 9
215.86036950268104,18726388.595968936,48013-Precinct 10
730.9202857878579,69214032.7755397,48013-Precinct 11
656.2271421505213,49271924.79453618,48013-Precinct 12
1683.0312929735192,150595569.55271235,48013-Precinct 13
62.05257342397814,3587087.749596541,48013-Precinct 14
1589.7638082831177,101164091.7043634,48013-Precinct 15
1082.6559815878768,74008826.55959867,48013-Precinct 17
943.3018466664304,66881428.32500384,48013-Precinct 18
339.2229473498545,33788456.49969133,48013-Precinct 19
1910.0577933450088,177863259.0542907,48013-Precinct 20
468.56973725432175,57414967.82148968,48013-Precinct 21
263.7254484221214,20551712.248103186,48013-Precinct 22
653.84441509244,63197438.57041213,48015-Precinct 101
866.1080335319815,99670636.79834858,48015-Precinct 102
725.7500278277248,79042902.88061656,48015-Precinct 103
487.3591649576643,47207956.78635212,48015-Precinct 104
1655.4797390027836,146465561.3137796,48015-Precinct 205
554.43273245486,68364825.38795541,48015-Precinct 206
333.9040019462182,46430960.17535127,48015-Precinct 207
328.4504378990939,42200073.34292421,48015-Precinct 208
413.9294477112879,44626678.11080364,48015-Precinct 309
2121.5708205196574,207575588.0653622,48015-Precinct 310
845.8683040952322,55262301.97968193,48015-Precinct 311
471.7676402377409,36378893.09903392,48015-Precinct 412
960.1388508323993,112758885.66197534,48015-Precinct 413
795.572227027853,61792737.7171518,48015-Precinct 414
959.8241568630627,58432360.11025131,48015-Precinct 415
491.24862803346093,31590452.05981204,48017-Precinct 1
652.7317530428028,48507978.166226335,48017-Precinct 2
539.4768712695433,52908587.31539157,48017-Precinct 3
513.0312603506864,42565980.88662326,48017-Precinct 4A
53.51148730350665,3628201.5719467956,48017-Precinct 4B
816.6252825487519,72704774.11288369,48019-Precinct 101
1378.5658828158153,156236041.46626574,48019-Precinct 102
1277.8090868300467,144652082.7300078,48019-Precinct 203
992.570455211557,87202697.704342,48019-Precinct 204
1439.3745894576489,113369215.09821717,48019-Precinct 305
802.6626108875854,79898510.6985312,48019-Precinct 306
1326.450006791255,105227406.72884053,48019-Precinct 407
119.68438091563476,7488587.452524206,48019-Precinct 408
605.9323765659078,40140080.23481392,48019-Precinct 409
182.7316883998255,14069980.27534054,48019-Precinct 410
188.54178272980502,18742481.058495823,48021-Precinct 1001
342.28098100404213,38173206.346350186,48021-Precinct 1002
1349.1708281321232,150606066.61341923,48021-Precinct 1003
1250.7701514260436,158134663.8219163,48021-Precinct 1004
612.1236714222789,38616474.97375737,48021-Precinct 1005
1958.4375813686563,169850828.05784693,48021-Precinct 1006
796.8723868629099,86587673.06590697,48021-Precinct 1007
851.3400525854514,122061531.72655566,48021-Precinct 1008
1682.3688766476491,158352326.51977178,48021-Precinct 1009
585.8087307637264,47090076.89359319,48021-Precinct 2010
1571.824986997548,137997542.60160488,48021-Precinct 2011
764.9325463197932,90197175.73600718,48021-Precinct 2012
2022.7659693349415,200680839.04748,48021-Precinct 2013
1666.028236196584,165606916.85588056,48021-Precinct 2014
1740.1343959027226,155665559.3065426,48021-Precinct 2015
1383.3283424569966,124086725.30242623,48021-Precinct 2016
1577.0264983617117,163757565.79145563,48021-Precinct 3017
1081.8198863852422,105144382.07923007,48021-Precinct 3018
2193.875224767211,198321909.23567435,48021-Precinct 3019
2610.390904436562,231430718.32795337,48021-Precinct 3020
1971.4244595378525,217346181.9550761,48021-Precinct 4021
1239.1790423861482,131040909.31050342,48021-Precinct 4022
848.7178635732754,79080166.78116006,48021-Precinct 4023
1163.5925405915889,97427665.26367481,48021-Precinct 4024
2355.0826040716147,258783901.53538537,48021-Precinct 4025
1345.6606658481066,113025448.12724504,48021-Precinct 4026
416.4592009783516,26739385.55747554,48023-Precinct 1
380.65295284810225,25414689.221393764,48023-Precinct 2
348.3775225715694,18831645.180848807,48023-Precinct 3
402.5103236019768,24455480.040281888,48023-Precinct 4
1237.5348500113405,89999097.46219707,48025-Precinct 1
197.2196260618932,12181666.669068567,48025-Precinct 2
1174.0433617911153,88450876.52601828,48025-Precinct 3
324.2465246264527,19802321.538935885,48025-Precinct 4
394.4115232967313,27429589.39585365,48025-Precinct 5
658.2095757156226,39359208.56368669,48025-Precinct 6
494.3140548583416,26432607.807617724,48025-Precinct 9
801.2889789708845,50802691.3908112,48025-Precinct 10
661.5892826979132,56113115.46344657,48025-Precinct 13
600.6750532195903,39034264.23900104,48025-Precinct 16
806.3659438500154,60030834.7137446,48025-Precinct 17
905.6442124149021,88306468.31562223,48025-Precinct 18
325.45701248519754,17649257.913996488,48025-Precinct 19
2302.5554366968704,497364959.35664696,48027-Precinct 101
2436.704589117916,245126748.40338388,48027-Precinct 102
1315.4079230455889,88525109.90318647,48027-Precinct 103
1818.9207273035038,187624315.18253118,48027-Precinct 104
1066.7977990298764,127692708.84663317,48027-Precinct 105
3168.121826347823,245766004.49637714,48027-Precinct 106
389.1347022757729,32735560.379137363,48027-Precinct 107
992.6656965086515,90178995.0995565,48027-Precinct 108
2585.572424055186,148989372.07535848,48027-Precinct 109
1615.5528376278073,115696050.42885816,48027-Precinct 110
1952.3965398672508,311291555.0831807,48027-Precinct 111
2645.2231361362656,240781700.7138065,48027-Precinct 113
2291.145733730508,194607259.06045604,48027-Precinct 114
2162.079272696496,295968384.8174688,48027-Precinct 115
1073.1873666239862,62013854.75885617,48027-Precinct 116
1387.9240986717268,203840593.45351043,48027-Precinct 118
1171.879645036051,110671240.65446478,48027-Precinct 119
2173.825736088994,148923998.7343608,48027-Precinct 201
2903.2017206345536,260137419.37385646,48027-Precinct 202
2015.0585204464708,290004620.6590737,48027-Precinct 203
2217.4886200073756,122240544.61490735,48027-Precinct 204
3559.696125143815,232174886.4106988,48027-Precinct 205
1751.33508462481,152221908.33833766,48027-Precinct 206
3261.808820562116,221333729.85197797,48027-Precinct 207
