County,anglo,anglovap,asian,asianvap,bh,bhvap,black,blackvap,hisp,hispvap,nanglo,nanglovap,vap,votes_dem,votes_rep,votes_total,college_enroll,bachelors_up_total_sum,20_trump,20_biden,aggregateincome,20_total,total,households,anglovap_pct,asianvap_pct,hispvap_pct,blackvap_pct,college_enroll_pct,bachelors_up_total_sum_pct,pct_dem_lead,pct_dem_lead_20,avg_hh_income,swing_2024
CALHOUN,8374.0,7072.0,1169.0,866.0,10271.0,7317.0,534.0,390.0,9858.0,6980.0,11732.0,8430.0,15502.0,1853,5939,7841,684.0,2505.0,5641.0,2148.0,755690900.0,7868.0,20106.0,8398.0,0.45619920010321247,0.0558637595149013,0.4502644820023223,0.025158044123338923,0.044123338924009804,0.16159205263836923,-0.5211070016579518,-0.44395017793594305,89984.62729221243,-0.07715682372200872
CALLAHAN,11555.0,9221.0,109.0,81.0,1545.0,1008.0,269.0,151.0,1306.0,867.0,2153.0,1475.0,10696.0,761,6180,6988,456.0,2391.0,6012.0,734.0,429307000.0,6832.0,13708.0,5237.0,0.862097980553478,0.007572924457741212,0.08105833956619297,0.014117427075542258,0.04263275991024682,0.22354151084517576,-0.7754722381224957,-0.7725409836065574,81975.74947489021,-0.002931254515938231
CAMERON,37107.0,31674.0,3637.0,2787.0,378477.0,265300.0,3410.0,2103.0,376680.0,264000.0,383910.0,269534.0,301208.0,54262,60996,116318,24211.0,54551.0,49031.6876839008,64062.62168978562,9483594529.399368,114325.30348886087,421017.0,135432.167544784,0.10515656954662558,0.009252742291041406,0.8764707444689384,0.006981886271280976,0.08037967119067223,0.18110740750577675,-0.05789301741776853,0.13147512884012896,70024.68247629119,-0.1893681462578975
CAMP,6734.0,5501.0,154.0,123.0,5262.0,3479.0,2092.0,1497.0,3222.0,1998.0,5730.0,3844.0,9345.0,1201,4011,5253,575.0,1689.0,3626.0,1394.0,362146500.0,5058.0,12464.0,4677.0,0.5886570358480471,0.013162118780096307,0.21380417335473514,0.16019261637239166,0.061530230069555915,0.18073836276083466,-0.5349324195697697,-0.44128113879003555,77431.36626042335,-0.09365128077973411
CARSON,4873.0,3734.0,33.0,28.0,636.0,443.0,91.0,69.0,558.0,382.0,934.0,667.0,4401.0,290,2866,3177,196.0,1078.0,2779.0,297.0,236378700.0,3116.0,5807.0,2302.0,0.8484435355601,0.006362190411270166,0.0867984548966144,0.015678254942058625,0.04453533287889116,0.24494433083390138,-0.8108278249921309,-0.7965340179717587,102684.05734144223,-0.014293807020372196
CASS,21028.0,16930.0,199.0,137.0,6224.0,4410.0,4941.0,3598.0,1336.0,844.0,7426.0,5297.0,22227.0,2406,11693,14143,1163.0,3635.0,11033.0,2795.0,837577600.0,13927.0,28454.0,11775.0,0.7616862374589464,0.006163674809915868,0.03797183605524812,0.16187519683268098,0.05232375039366536,0.16353983893462906,-0.6566499328289613,-0.5915128886335894,71131.85562632697,-0.06513704419537192
CASTRO,2328.0,1867.0,49.0,45.0,4905.0,3309.0,155.0,105.0,4784.0,3215.0,5043.0,3410.0,5277.0,418,1594,2023,162.0,944.0,1602.0,466.0,197567500.0,2083.0,7371.0,2427.0,0.353799507295812,0.008527572484366117,0.6092476786052682,0.019897669130187607,0.030699260943718023,0.17888952056092478,-0.5813148788927336,-0.5453672587614019,81403.99670374948,-0.03594762013133168
CHAMBERS,29858.0,22476.0,879.0,589.0,14512.0,9389.0,3763.0,2689.0,10952.0,6781.0,16713.0,10988.0,33464.0,4187,20557,24958,3190.0,7596.0,17353.0,3997.0,1966723000.0,21652.0,46571.0,16558.0,0.6716471431986613,0.01760100406406885,0.20263566818073153,0.08035500836720057,0.09532632082237628,0.22699019842218504,-0.6559019152175656,-0.6168483280990209,118777.81132987076,-0.039053587118544675
CHEROKEE,30095.0,24051.0,418.0,289.0,18714.0,12585.0,7069.0,5164.0,11797.0,7472.0,20317.0,13836.0,37887.0,3744,16593,20507,1968.0,6555.0,15101.0,4210.0,1427483900.0,19508.0,50412.0,18085.0,0.6348087734579143,0.007627946261250561,0.1972180431282498,0.13630005014912766,0.051943938554121466,0.17301449045846862,-0.6265665382552299,-0.5582837810129178,78931.92701133536,-0.06828275724231214
CHILDRESS,3852.0,3116.0,93.0,64.0,2585.0,2021.0,672.0,580.0,1942.0,1461.0,2812.0,2202.0,5318.0,263,1991,2274,105.0,607.0,1943.0,310.0,171942400.0,2283.0,6664.0,2174.0,0.585934561865363,0.012034599473486273,0.2747273411056788,0.10906355772846935,0.019744264761188415,0.11414065438134637,-0.7598944591029023,-0.7152869031975471,79090.34038638455,-0.044607555905355256
CLAY,8941.0,7247.0,87.0,69.0,745.0,463.0,121.0,74.0,641.0,394.0,1277.0,897.0,8144.0,584,5288,5918,341.0,1846.0,5069.0,614.0,374973900.0,5752.0,10218.0,4227.0,0.8898575638506876,0.008472495088408645,0.04837917485265226,0.009086444007858546,0.0418713163064833,0.22666994106090374,-0.7948631294356201,-0.7745132127955493,88709.22640170333,-0.020349916640070798
COCHRAN,912.0,709.0,16.0,13.0,1594.0,1076.0,94.0,62.0,1527.0,1019.0,1635.0,1108.0,1817.0,148,735,893,81.0,176.0,808.9999999999999,177.0,57221600.00000001,1000.0,2547.0,949.0,0.39020363236103467,0.007154650522839846,0.5608145294441387,0.0341221794166208,0.0445789763346175,0.09686296092460099,-0.6573348264277716,-0.6319999999999999,60296.73340358273,-0.02533482642777174
COKE,3071.0,2516.0,21.0,6.0,852.0,612.0,25.0,15.0,842.0,604.0,1008.0,745.0,3261.0,179,1623,1814,94.0,517.0,1586.0000000000002,178.0,97776000.0,1779.0,4079.0,1489.0,0.771542471634468,0.0018399264029438822,0.18521925789635083,0.004599816007359705,0.02882551364612082,0.15854032505366453,-0.7960308710033076,-0.7914558740865656,65665.5473472129,-0.0045749969167420135
COLEMAN,7549.0,6219.0,66.0,42.0,1772.0,1208.0,303.0,171.0,1507.0,1046.0,2107.0,1485.0,7704.0,428,3712,4164,72.0,1077.0,3641.0,451.0,243563300.0,4129.0,9656.0,3230.0,0.8072429906542056,0.005451713395638629,0.1357736240913811,0.02219626168224299,0.009345794392523364,0.139797507788162,-0.7886647454370798,-0.7725841608137564,75406.59442724458,-0.016080584623323402
COLLIN,542472.0,425932.0,206884.0,144989.0,289913.0,196791.0,126186.0,86611.0,169158.0,112750.0,521993.0,360906.0,786838.0,221141,278435,515582,74895.0,422342.0,252042.25580706616,230698.37402800305,60131294953.38253,491665.9416907408,1064465.0,399493.2081761981,0.5413210851534878,0.18426791791957176,0.14329506200768138,0.11007475490507576,0.09518477755268556,0.5367585195427775,-0.11112490350710458,-0.043411348985585185,150518.94180604286,-0.06771355452151939
COLLINGSWORTH,1617.0,1309.0,32.0,24.0,955.0,615.0,148.0,98.0,832.0,520.0,1035.0,679.0,1988.0,135,1066,1201,122.0,448.0,1048.0,155.0,72757900.0,1218.0,2652.0,947.0,0.6584507042253521,0.012072434607645875,0.26156941649899396,0.04929577464788732,0.0613682092555332,0.22535211267605634,-0.7751873438801,-0.7331691297208538,76829.883843717,-0.042018214159246225
COLORADO,11761.0,9930.0,132.0,90.0,8336.0,5807.0,2535.0,1827.0,5990.0,4026.0,8796.0,6163.0,16093.0,2108,7824,10012,545.0,3531.0,7472.0,2420.0,743419000.0,9975.0,20557.0,7577.0,0.6170384639284161,0.005592493630771142,0.2501708817498291,0.11352762070465419,0.033865655875225255,0.21941216678058784,-0.5709149021174591,-0.5064661654135338,98115.21710439488,-0.06444873670392526
COMAL,127470.0,105043.0,4120.0,2794.0,55693.0,38793.0,6063.0,4233.0,50599.0,35063.0,65476.0,46222.0,151265.0,27680,74756,103490,6738.0,53766.0,62730.89032258064,24823.496774193547,8954842592.904074,88880.25483870968,192946.0,67642.66447656593,0.6944303044326182,0.018470895448385285,0.23179849932238125,0.027984001586619508,0.0445443427098139,0.355442435460946,-0.4548845299062711,-0.42649960463296777,132384.53366966912,-0.02838492527330333
COMANCHE,9197.0,7677.0,62.0,47.0,3949.0,2557.0,127.0,72.0,3867.0,2506.0,4397.0,2889.0,10566.0,834,5679,6544,260.0,1996.0,5177.0,853.0,428878800.0,6086.0,13594.0,5395.0,0.7265758091993185,0.004448230172250615,0.23717584705659664,0.0068143100511073255,0.024607230740109787,0.18890781752791974,-0.7403728606356967,-0.7104830759119289,79495.60704355885,-0.0298897847237678
CONCHO,2097.0,1885.0,47.0,33.0,1121.0,895.0,105.0,91.0,1033.0,815.0,1206.0,966.0,2851.0,153,1038,1198,70.0,343.0,1058.0,197.0,60553700.0,1268.0,3303.0,849.0,0.6611715187653455,0.011574886004910558,0.28586460890915466,0.03191862504384427,0.024552788495264818,0.12030866362679761,-0.7387312186978297,-0.6790220820189274,71323.55712603063,-0.05970913667890221
COOKE,37118.0,30113.0,698.0,505.0,14320.0,8691.0,2560.0,1594.0,11988.0,7167.0,17234.0,10804.0,40917.0,3310,16975,20447,1418.0,6914.0,15596.0,3210.0,1623272500.0,18996.0,54352.0,16252.0,0.7359532712564459,0.012342058313170565,0.17515946916929392,0.03895691277464135,0.03465552215460566,0.16897622015299266,-0.6683131999804373,-0.6520320067382608,99881.39921240462,-0.016281193242176473
CORYELL,46213.0,36642.0,3238.0,2270.0,30436.0,21287.0,15290.0,10659.0,16482.0,11259.0,36880.0,25964.0,62606.0,6938,16619,23835,5097.0,10315.0,15438.0,7565.0,2215917400.0,23535.0,83093.0,26099.0,0.5852793661949334,0.03625850557454557,0.17983899306775708,0.17025524710091686,0.08141392198830782,0.16476056607992845,-0.4061674008810573,-0.3345230507754408,84904.30284685237,-0.07164435010561648
COTTLE,902.0,764.0,18.0,14.0,440.0,305.0,128.0,90.0,327.0,226.0,478.0,333.0,1097.0,89,565,658,5.0,205.0,540.0,113.0,44428600.0,662.0,1380.0,571.0,0.6964448495897904,0.01276207839562443,0.20601640838650867,0.0820419325432999,0.004557885141294439,0.18687329079307202,-0.7234042553191489,-0.6450151057401813,77808.40630472855,-0.07838914957896759
CRANE,1342.0,1130.0,39.0,26.0,3237.0,2147.0,102.0,71.0,3158.0,2087.0,3333.0,2221.0,3351.0,186,1195,1390,136.0,438.0,1247.0,241.0,134448300.0,1504.0,4675.0,1665.0,0.3372127723067741,0.007758877946881528,0.6227991644285288,0.02118770516263802,0.04058490002984184,0.13070725156669652,-0.7258992805755395,-0.6688829787234043,80749.72972972973,-0.05701630185213524
CROCKETT,1080.0,902.0,23.0,17.0,1945.0,1437.0,36.0,29.0,1920.0,1416.0,2018.0,1492.0,2394.0,323,1087,1420,0.0,242.0,1220.0,344.0,114166800.0,1574.0,3098.0,1176.0,0.3767752715121136,0.007101086048454469,0.5914786967418546,0.01211361737677527,0.0,0.1010860484544695,-0.5380281690140845,-0.5565438373570522,97080.61224489796,0.018515668342967695
CROSBY,2076.0,1760.0,41.0,22.0,2965.0,1980.0,203.0,129.0,2829.0,1873.0,3057.0,2052.0,3812.0,451,1416,1880,119.0,497.0,1393.9894937917861,526.3123209169055,156677985.71428573,1950.2492836676217,5133.0,1971.7362637362637,0.4616998950682057,0.005771248688352571,0.4913431269674711,0.0338405036726128,0.031217208814270724,0.13037775445960126,-0.5132978723404256,-0.44490577699028017,79461.9384934347,-0.0683920953501454
CULBERSON,445.0,396.0,50.0,31.0,1673.0,1274.0,48.0,38.0,1645.0,1252.0,1743.0,1325.0,1721.0,319,451,781,0.0,262.0,415.0,438.0,37387100.0,864.0,2188.0,702.0,0.23009877977919815,0.01801278326554329,0.7274840209180709,0.022080185938407902,0.0,0.15223707147007554,-0.16901408450704225,0.02662037037037035,53257.97720797721,-0.1956344548774126
DALLAM,3119.0,2374.0,33.0,21.0,3837.0,2536.0,142.0,96.0,3707.0,2447.0,3996.0,2648.0,5022.0,152,1285,1447,71.0,699.0,1389.0,197.0,196321100.0,1609.0,7115.0,2373.0,0.4727200318598168,0.004181600955794504,0.48725607327757864,0.019115890083632018,0.014137793707686181,0.13918757467144563,-0.7829993089149965,-0.7408328154133001,82731.18415507796,-0.04216649350169632
DALLAS,1172184.0,1012420.0,344646.0,260644.0,2826485.0,1991616.0,1107230.0,813442.0,1753904.0,1195195.0,3230994.0,2302804.0,3315224.0,510859,322439,853138,139701.0,604897.0,304619.0584342114,595546.0124845251,105364710409.47362,913390.1648857114,4403178.0,966249.9827391637,0.3053850961503657,0.07862032852078774,0.36051711739538567,0.24536562235312004,0.04213923403064167,0.18246037070194956,0.22085524264538686,0.3185133420904704,109044.98037948893,-0.09765809944508352
DAWSON,4590.0,3754.0,86.0,63.0,7665.0,5538.0,1004.0,842.0,6767.0,4733.0,7866.0,5696.0,9450.0,667,2810,3513,312.0,1234.0,2951.0,808.0,304915400.0,3789.0,12456.0,4154.0,0.39724867724867724,0.006666666666666667,0.5008465608465609,0.0891005291005291,0.03301587301587302,0.13058201058201058,-0.6100199259891831,-0.5655845869622591,73402.84063553202,-0.04443533902692398
DEAF SMITH,4233.0,3472.0,78.0,58.0,14080.0,9251.0,290.0,168.0,13925.0,9156.0,14350.0,9477.0,12949.0,1019,3233,4286,616.0,1300.0,3294.0,1264.0,429809300.0,4610.0,18583.0,5973.0,0.26812881303575564,0.004479110356012048,0.7070816279249363,0.012973974824310758,0.04757124102247278,0.10039385280716658,-0.5165655622958469,-0.4403470715835141,71958.69747195714,-0.07621849071233283
DELTA,4189.0,3361.0,63.0,38.0,765.0,511.0,402.0,271.0,394.0,252.0,1041.0,720.0,4081.0,397,2250,2658,84.0,769.0,2162.0,403.0,166550700.0,2592.0,5230.0,2095.0,0.823572653761333,0.009311443273707424,0.06174957118353345,0.06640529282038717,0.02058319039451115,0.18843420730213184,-0.6971407072987208,-0.6786265432098766,79499.14081145584,-0.01851416408884421
DENTON,485645.0,385460.0,106259.0,74893.0,290445.0,199378.0,113635.0,79448.0,182767.0,122893.0,420756.0,292944.0,678404.0,191503,250521,449188,72651.0,319870.0,221538.50934561013,188079.19046512048,48784147360.484406,416383.8566425366,906401.0,344581.1190540427,0.5681865083342669,0.11039587030736847,0.1811501701051291,0.11711015854859347,0.10709105488764807,0.4715037057564519,-0.13138819380749267,-0.08035690708637216,141575.21890464725,-0.051031286721120506
DEWITT,10854.0,8969.0,105.0,77.0,8564.0,6120.0,1867.0,1353.0,6890.0,4826.0,8970.0,6449.0,15418.0,1270,6515,7825,513.0,2229.0,6567.0,1494.0,575562200.0,8118.0,19824.0,6683.0,0.5817226618238422,0.004994162667012583,0.31301076663639904,0.08775457257750681,0.033272798028278636,0.1445712803217019,-0.6702875399361021,-0.6249076127124908,86123.3278467754,-0.04537992722361128
DICKENS,1178.0,969.0,21.0,17.0,548.0,365.0,64.0,43.0,512.0,339.0,592.0,400.0,1369.0,146,844,993,52.0,229.0,853.0,130.0,50786000.0,988.0,1770.0,684.0,0.7078159240321402,0.01241782322863404,0.24762600438276114,0.031409788166544925,0.03798392987582177,0.1672753834915997,-0.702920443101712,-0.7317813765182186,74248.53801169591,0.02886093341650664
